KO	URN	SCB	ARB	APN	MRB	SGN	KTB	KSN	SDP	SDB	STN	KGB	KGC	HZB	TTB	SBN	TKN	YNN	URA	SCC	ARC	AKA	SGA	KTA	OYB	OYC	FKA	FKB	TZA	TZB	FJF	FJS	ASA	HZA	TTA	SBA	TKA	SDG
K00360	2	0	0	2	5	1	2	1	2	2	0	2	0	2	1	1	2	2	5	2	2	2	2	1	0	1	3	4	1	3	3	4	3	1	0	0	3	2
K00362	144	182	177	192	217	184	258	185	197	235	190	180	176	188	239	215	338	201	157	181	177	143	228	260	190	217	209	238	181	243	232	187	186	203	195	249	249	249
K00363	63	71	100	99	130	94	92	103	100	98	73	108	90	110	92	130	113	58	63	108	122	105	99	106	121	116	129	117	126	129	122	118	92	133	91	119	154	106
K00366	179	144	160	208	136	155	194	178	198	196	177	166	173	186	158	183	173	150	131	144	147	151	155	151	145	169	134	129	161	181	165	128	172	171	163	167	164	131
K00367	9	13	13	17	22	14	11	13	18	14	6	4	1	9	16	14	11	9	15	12	19	7	8	19	12	13	17	26	15	31	20	15	9	21	17	14	21	13
K00368	35	108	94	58	159	33	66	53	50	35	35	37	25	55	58	122	108	43	63	138	90	82	49	120	151	130	124	177	180	161	146	166	141	78	91	117	192	104
K00370	12	93	63	44	101	6	30	32	13	16	3	6	8	21	36	128	97	10	33	146	58	20	21	65	78	94	99	100	159	104	118	148	116	34	90	120	190	52
K00371	11	46	29	29	52	5	26	11	14	6	7	1	5	11	22	77	64	13	32	66	27	11	19	33	36	40	41	50	59	46	67	81	71	24	36	66	79	32
K00372	181	319	308	283	372	221	418	280	285	289	261	265	181	218	342	348	426	288	197	324	387	226	255	417	322	380	407	412	347	414	395	436	297	352	338	356	387	383
K00374	2	24	7	18	17	4	13	4	6	5	1	1	2	3	7	28	21	3	12	22	6	3	6	18	7	14	12	17	19	21	17	33	20	4	22	26	19	15
K00376	3	27	22	6	37	4	7	8	10	7	3	3	2	3	18	20	27	5	7	33	13	10	4	19	41	27	38	63	25	26	36	40	22	10	21	16	66	32
K02305	5	5	5	6	8	0	4	2	4	0	3	1	0	1	5	14	4	0	8	9	5	10	3	11	3	4	11	11	16	11	13	11	11	1	9	16	8	2
K02567	30	69	49	38	72	26	79	31	32	40	39	29	32	31	58	48	90	41	43	59	38	39	46	96	77	65	87	90	93	93	74	90	51	44	77	41	87	74
K02568	1	10	14	1	3	1	24	1	0	3	5	2	3	1	6	5	18	3	8	3	5	4	1	12	6	4	9	10	18	8	15	19	4	5	11	2	11	12
K02588	2	3	2	1	0	2	2	0	1	0	6	0	4	0	3	0	1	1	0	5	2	3	3	0	1	2	2	3	1	0	2	2	0	0	1	2	1	2
K03385	11	28	31	13	44	3	36	6	12	11	3	2	0	9	22	23	29	7	10	35	17	11	17	55	49	53	89	85	91	81	45	80	23	22	44	34	87	42
K04561	76	183	122	95	165	37	47	84	72	55	43	15	21	82	103	162	94	100	123	194	113	81	59	126	152	185	124	206	162	132	172	226	179	78	161	189	143	137
K10534	8	1	3	1	5	4	2	3	5	3	5	4	1	1	5	4	4	7	4	2	0	2	7	1	3	4	1	2	3	3	1	2	0	0	2	2	3	5
K10535	0	3	1	0	5	1	0	0	1	0	1	0	0	1	3	0	2	1	1	10	4	3	1	7	4	5	4	1	6	8	6	17	3	3	0	4	7	1
K10944	3	14	15	14	19	8	12	12	11	12	13	10	3	5	12	13	7	8	1	8	14	9	7	16	21	10	12	8	18	30	16	14	14	19	7	15	18	4
K10945	5	9	10	10	22	11	12	9	10	19	16	5	4	12	9	25	6	3	3	9	19	10	6	8	13	12	14	6	21	26	18	33	16	11	11	14	18	4
K10946	5	17	32	8	23	15	17	8	12	13	14	5	3	6	11	16	8	4	2	17	28	11	24	19	21	18	13	10	38	35	35	40	21	15	13	8	30	4
K15876	3	9	8	4	22	2	15	2	4	0	1	1	0	3	5	15	16	3	7	13	4	2	4	24	16	14	39	29	37	34	15	35	12	10	10	8	31	20
K17877	0	1	2	2	1	6	3	3	3	0	1	10	2	5	3	2	1	11	2	2	2	1	1	2	2	3	1	2	1	1	3	2	2	4	7	3	2	2
K02591	1	3	3	1	1	0	0	0	0	0	0	0	1	1	3	0	0	1	0	4	1	0	1	1	0	0	0	2	1	0	0	0	1	2	2	3	0	2
K15864	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	1	1	0	0	0	1	5	1	1	2	2
K02586	0	2	2	0	1	2	1	0	0	0	2	0	2	0	2	0	1	2	0	2	0	0	0	1	1	1	3	2	0	0	0	1	0	1	1	2	0	2
K00531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
