sample,Site,Sampling_location,Sites,Latitude,Longitude,BD,GWC,pH.H2O.,pH,soilpH,Total.C,Total.N,CN,KCl_NH4.N,KCl_NO3.N,WSOC,Na,NH4,K,Mg,Ca,Cl,NO3,SO4,Al,Fe,Mn,Cu,GMIN,GNIT,GNH4C,GNO3C,Branch_stock,Branch_C,Branch_N,Branch_CN,Leaf_stock,Leaf_C,Leaf_N,Leaf_CN,FH_stock,FH_C,FH_N,FH_CN,Soil.DNA,Bacterial.16S,Fungal.18S,F.B,AOA.amoA,AOB.amoA,AOA.AOB,Map_No,Site.y,N_degree,N_minute,N_second,E_degree,E_minute,E_second,Altitude,Slope_aspect,FSD,WRB,USDA,Forest_type,Dominant_tree_species,Understory,MAT,MAP,Sampling_date_1,Sampling_date_2,Sampling_date_3,Dominant_tree_type
S1,URA,1,URA1,44.36722222,142.2466667,0.83,0.33,4.98,4<pH¡Ü5,4-5,8.92,0.57,15.65,2.564,5.804,338.988,1.17,0.011,0.18,0.025,0.049,0.452,0.215,0.153,8.842,5.117,0.371,0,2.876,1.997,4.038,NA,3.09,47.63,0.41,117.18,4.13,49.19,0.97,50.55,16.45,42.5,1.31,32.46,64.8,87620178412,2742133416,0.031,44484675,305667,145.5,1,"Uryu, artificial forest",44,22,2,142,14,48,300,flat,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1956),Abies sachalinensis,Sasa senanensis,4.4,1150,2012/10/26,2012/10/26,2012/10/26,Conifer
S10,URN,1,URN1,44.35583333,142.2580556,0.75,0.37,4.82,4<pH¡Ü5,4-5,5.13,0.36,14.37,20.666,0.184,127.125,0.362,0.2,0.532,0.128,0.818,0.161,0.062,0.646,11.136,7.4,0.001,0.004,1.835,0.273,1.354,0.263,6.76,46.6,0.68,68.09,1.02,43.06,1.4,30.87,9.27,41.5,1.49,27.93,35.1,47413682604,2281414790,0.048,7746052,2149427,3.6,1,"Uryu, natural forest",44,21,21,142,15,29,300,N,BD,Cambisols,Inceptisols,Cool temperate mixed forest,Abies sachalinensis,"Sasa senanensis, Viburnum furcatum",4.4,1150,2010/8/3,2012/11/2,2010/11/1,Conifer
S100,SDB,1,SDB1,36.51916667,138.3519444,NA,0.59,4.95,4<pH¡Ü5,4-5,23.16,1.09,21.26,NA,NA,244.495,1.481,0.006,0.745,0.1,0.221,0.577,0,0.357,9.772,1.5,0.135,0.303,3.131,0.108,5.514,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.7,3.67E+11,26002241890,0.071,1034660,843490,1.2,12,"Sugadaira, broadleaved forest",36,31,9,138,21,7,1300,N,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Sasa senanensis,6.6,1220,2012/11/20,NA,2012/11/20,Broadleaf
S101,SDG,1,SDG1,36.52333333,138.3497222,0.46,0.54,6.09,6<pH¡Ü7,6-7,16.29,1.06,15.3,1.899,0.445,57.122,0.649,0,0.452,0.11,0.315,0.591,0,0.237,0.897,0.095,0.049,0.036,1.194,0.391,1.204,3.957,0,NA,NA,NA,0,NA,NA,NA,4.41,31.76,1.45,21.85,80.5,1.82E+11,6005342632,0.033,4719749,20416771,0.2,12,"Sugadaira, grassland",36,31,24,138,20,59,1330,flat,BD,Andosols,Andisols,Grassland,Miscanthus sinensis,Almost no understory,6.6,1220,2012/11/20,2012/11/20,2012/11/20,Conifer
S102,SDG,2,SDG2,36.52333333,138.3497222,0.44,0.56,5.99,5<pH¡Ü6,5-6,17.54,1.13,15.49,1.899,0.445,96.43,0.607,0,0.526,0.058,0.174,0.331,0.099,0.373,1.095,0.171,0.082,0,5.422,0.066,8.472,1.938,0,NA,NA,NA,0,NA,NA,NA,3.36,31.3,1.31,23.88,72.7,1.68E+11,2705297042,0.016,11871116,20327214,0.6,12,"Sugadaira, grassland",36,31,24,138,20,59,1330,flat,BD,Andosols,Andisols,Grassland,Miscanthus sinensis,Almost no understory,6.6,1220,2012/11/20,2012/11/20,2012/11/20,Conifer
S103,SDG,3,SDG3,36.52333333,138.3497222,0.52,0.55,5.73,5<pH¡Ü6,5-6,17.71,1.23,14.44,1.899,0.445,32.662,0.627,0,0.184,0.15,0.59,0.84,0.131,0.213,0.675,0.023,0.13,0,5.881,0.828,9.244,0.23,0,NA,NA,NA,0,NA,NA,NA,4.13,33.3,1.58,21.13,89,2.19E+11,4640096873,0.021,52434707,18565352,2.8,12,"Sugadaira, grassland",36,31,24,138,20,59,1330,flat,BD,Andosols,Andisols,Grassland,Miscanthus sinensis,Almost no understory,6.6,1220,2012/11/20,2012/11/20,2012/11/20,Conifer
S104,SDG,4,SDG4,36.52333333,138.3497222,0.42,0.55,5.88,5<pH¡Ü6,5-6,16.08,1.07,15.01,1.899,0.445,114.225,1.141,0,0.153,0.209,0.587,1.026,0,0.267,1.277,0.251,0.071,0,2.437,0.498,3.329,3.975,0,NA,NA,NA,0,NA,NA,NA,7.41,33.49,1.42,23.53,80.9,2.03E+11,7463164520,0.037,800487,7395003,0.1,12,"Sugadaira, grassland",36,31,24,138,20,59,1330,flat,BD,Andosols,Andisols,Grassland,Miscanthus sinensis,Almost no understory,6.6,1220,2012/11/20,2012/11/20,2012/11/20,Conifer
S105,SDG,5,SDG5,36.52333333,138.3497222,0.47,0.59,5.78,5<pH¡Ü6,5-6,17.86,1.11,16.03,1.899,0.445,21.628,0.702,0,0.735,0.08,0.353,1.076,0,0.298,0.313,0.045,0.091,0,0.826,0.722,1.027,4.507,0,NA,NA,NA,0,NA,NA,NA,3.52,36.19,1.05,34.51,114.8,2.61E+11,8129606151,0.031,1753009,302316,5.8,12,"Sugadaira, grassland",36,31,24,138,20,59,1330,flat,BD,Andosols,Andisols,Grassland,Miscanthus sinensis,Almost no understory,6.6,1220,2012/11/20,2012/11/20,2012/11/20,Conifer
S106,FKA,1,FKA1,35.20555556,140.1030556,0.68,0.4,6.61,6<pH¡Ü7,6-7,5.58,0.3,18.89,6.894,4.134,32.833,1.278,0.003,0.091,0.05,0.237,0.465,0.138,0.178,1.169,0.783,0.016,0.039,2.634,0.101,4.771,0.031,0,NA,NA,NA,0.13,48.36,0.69,70.27,15.13,46.38,0.41,112.44,45.7,1.07E+11,1412184247,0.013,51617424,10384287,5,13,Fukuroyamasawa-A,35,12,20,140,6,11,180,E,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1928-1931),Cryptomeria japonica,Aucuba japonica,14,2310,2012/10/24,2012/10/24,2012/10/24,Conifer
S107,FKA,2,FKA2,35.20555556,140.1030556,0.81,0.39,6.83,6<pH¡Ü7,6-7,3.44,0.17,20.02,6.894,4.134,34.131,1.109,0.003,0.11,0.046,0.165,0.38,0.147,0.146,4.425,2.495,0.027,0.046,2.607,0.686,3.158,NA,0,NA,NA,NA,0,43.37,2.54,17.06,21.49,46.44,0.4,116.54,28.6,61412384084,2817660279,0.046,8481529,7313989,1.2,13,Fukuroyamasawa-A,35,12,20,140,6,11,180,E,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1928-1931),Cryptomeria japonica,Aucuba japonica,14,2310,2012/10/24,2012/10/24,2012/10/24,Conifer
S108,FKA,3,FKA3,35.20555556,140.1030556,0.64,0.41,6.77,6<pH¡Ü7,6-7,3.78,0.23,16.18,6.894,4.134,29.549,0.998,0.002,0.058,0.068,0.192,0.361,0.205,0.421,0.279,0.113,0.008,0,NA,1.496,1.746,NA,0.02,46.56,0.4,115.28,0.52,48.42,0.59,82.24,12.24,44.12,0.48,92.82,22.1,41861602226,543607984,0.013,60611802,1065266,56.9,13,Fukuroyamasawa-A,35,12,20,140,6,11,180,E,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1928-1931),Cryptomeria japonica,Aucuba japonica,14,2310,2012/10/24,2012/10/24,2012/10/24,Conifer
S109,FKA,4,FKA4,35.20555556,140.1030556,0.76,0.34,6.24,6<pH¡Ü7,6-7,2.45,0.13,19.17,6.894,4.134,0,0.771,0.002,0.018,0.024,0.072,0.229,0.082,0.475,0.389,0.175,0.011,0.045,0.652,NA,0.946,0.196,0.06,46.67,0.37,127.09,0.19,47.01,0.71,65.84,15.84,47.02,0.62,75.75,6.5,16029220830,316237912,0.02,3182383,552536,5.8,13,Fukuroyamasawa-A,35,12,20,140,6,11,180,E,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1928-1931),Cryptomeria japonica,Aucuba japonica,14,2310,2012/10/24,2012/10/24,2012/10/24,Conifer
S11,SCB,1,SCB1,43.38805556,144.66,0.24,0.54,5.49,5<pH¡Ü6,5-6,15.06,1.14,13.24,0.909,13.316,203.168,1.564,0,0.53,0.458,1.917,0.751,1.749,0.31,3.11,1.118,0.07,0.131,3.171,2.992,5.959,0.1,0.07,44.09,0.88,49.84,2.66,44.3,1.08,41.03,6.03,39.56,1.69,23.37,110.8,2.53E+11,4530748418,0.018,386356037,57148592,6.8,2,"Shibecha, broadleaved forest",43,23,17,144,39,36,120,NE,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Sasa nipponica,6.2,1170,2012/11/8,2012/11/8,2012/11/8,Broadleaf
S110,FKA,5,FKA5,35.20555556,140.1030556,0.58,0.47,6.96,6<pH¡Ü7,6-7,7.74,0.42,18.59,6.894,4.134,6.477,1.166,0,0.118,0.162,0.457,0.415,0.461,0.167,0.479,0.289,0.01,0,3.649,0.325,5.254,0.579,0,NA,NA,NA,0.52,47.01,0.45,105.6,16.65,44.9,0.47,96.44,55.3,1.20E+11,603192612,0.005,49923911,7509906,6.6,13,Fukuroyamasawa-A,35,12,20,140,6,11,180,E,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1928-1931),Cryptomeria japonica,Aucuba japonica,14,2310,2012/10/24,2012/10/24,2012/10/24,Conifer
S111,FKB,1,FKB1,35.205,140.1030556,0.47,0.38,6.62,6<pH¡Ü7,6-7,5.23,0.3,17.28,2.658,1.932,28.838,0.99,0.003,0.065,0.06,0.218,0.383,0.099,0.138,0.935,0.525,0.01,0,2.116,NA,3.398,0.055,0,NA,NA,NA,0.08,46.4,0.79,58.5,1.91,45.25,0.5,90.25,27.6,63321108432,453003570,0.007,18469699,1778726,10.4,13,Fukuroyamasawa-B,35,12,18,140,6,11,170,E,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 2000),Cryptomeria japonica,Almost no understory,14,2310,2012/10/25,2012/10/25,2012/10/25,Conifer
S112,FKB,2,FKB2,35.205,140.1030556,0.43,0.37,6.61,6<pH¡Ü7,6-7,5.06,0.29,17.67,2.658,1.932,13.408,1.067,0.003,0.046,0.022,0.05,0.439,0.064,0.192,1.998,1.136,0.014,0,4.939,0.07,6.208,0.509,0.25,45.52,0.15,302.46,0.1,45.52,0.29,155.09,3.8,43.12,0.35,122.6,40.7,1.05E+11,3824166180,0.037,NA,651493,NA,13,Fukuroyamasawa-B,35,12,18,140,6,11,170,E,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 2000),Cryptomeria japonica,Almost no understory,14,2310,2012/10/25,2012/10/25,2012/10/25,Conifer
S113,FKB,3,FKB3,35.205,140.1030556,0.68,0.36,6.41,6<pH¡Ü7,6-7,4.48,0.27,16.36,2.658,1.932,16.379,1.079,0.005,0.079,0.072,0.197,0.435,0.214,0.212,0.599,0.307,0.007,0.003,2.178,0.511,3.439,NA,0,NA,NA,NA,0,NA,NA,NA,2.14,42.77,0.64,66.55,48.4,1.22E+11,963408949,0.008,6244173,7120935,0.9,13,Fukuroyamasawa-B,35,12,18,140,6,11,170,E,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 2000),Cryptomeria japonica,Almost no understory,14,2310,2012/10/25,2012/10/25,2012/10/25,Conifer
S114,FKB,4,FKB4,35.205,140.1030556,0.75,0.38,6.63,6<pH¡Ü7,6-7,2.09,0.14,14.61,2.658,1.932,4.763,1.024,0.003,0.125,0.048,0.135,0.372,0.188,0.194,0.923,0.415,0.012,0,1.896,NA,4.228,0.113,0,NA,NA,NA,0,NA,NA,NA,7.97,37.66,0.61,61.59,19,35094620139,183055654,0.005,287888905,3582851,80.4,13,Fukuroyamasawa-B,35,12,18,140,6,11,170,E,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 2000),Cryptomeria japonica,Almost no understory,14,2310,2012/10/25,2012/10/25,2012/10/25,Conifer
S115,FKB,5,FKB5,35.205,140.1030556,0.51,0.37,6.76,6<pH¡Ü7,6-7,6.17,0.33,18.84,2.658,1.932,45.803,0.689,0.01,0.173,0.097,0.343,0.204,0.348,0.178,1.659,0.65,0.014,0.012,2.626,1.272,3.726,NA,0,NA,NA,NA,0,NA,NA,NA,2.69,43.57,0.5,87.86,33.1,83118295390,992966163,0.012,25343803,1213674,20.9,13,Fukuroyamasawa-B,35,12,18,140,6,11,170,E,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 2000),Cryptomeria japonica,Almost no understory,14,2310,2012/10/25,2012/10/25,2012/10/25,Conifer
S116,TZA,1,TZA1,35.46888889,139.2091667,0.41,0.38,6.62,6<pH¡Ü7,6-7,5.6,0.45,12.49,6.035,1.694,17.018,0.558,0,0.011,0.09,0.228,0.186,0.18,0.122,0.144,0.088,0.005,0.005,3.362,1.279,4.919,0.086,0.23,45.06,0.41,111.06,0.54,44.53,0.5,88.58,4.96,32.56,0.43,74.87,78.8,2.01E+11,879354308,0.004,528820062,2546654,207.7,14,Tanzawa-A,35,28,8,139,12,33,560,N,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1983-1985),Cryptomeria japonica,Pterostyrax hispida,11,2910,2012/10/30,2012/10/30,2012/10/30,Conifer
S117,TZA,2,TZA2,35.46888889,139.2091667,0.4,0.44,6.73,6<pH¡Ü7,6-7,6.68,0.53,12.67,6.035,1.694,14.619,0.485,0,0.01,0.071,0.271,0.163,0.244,0.119,0.31,0.04,0.014,0,4.39,0.069,6.118,NA,1.15,47.1,0.18,268.65,0.11,43.67,0.69,63.55,7.5,44.39,0.49,90.61,79.2,1.44E+11,1056732712,0.007,1885799747,1208738,1560.1,14,Tanzawa-A,35,28,8,139,12,33,560,N,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1983-1985),Cryptomeria japonica,Pterostyrax hispida,11,2910,2012/10/30,2012/10/30,2012/10/30,Conifer
S118,TZA,3,TZA3,35.46888889,139.2091667,0.47,0.47,6.89,6<pH¡Ü7,6-7,7.32,0.54,13.5,6.035,1.694,20.008,0.61,0,0.014,0.131,0.251,0.196,0.29,0.179,0.237,0.109,0.019,0.024,3.826,0.786,5.242,0.015,1.21,45.76,0.52,87.58,0.06,36.31,0.72,50.35,11.29,38.63,0.44,86.93,97.8,2.73E+11,1111279495,0.004,319388247,22357752,14.3,14,Tanzawa-A,35,28,8,139,12,33,560,N,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1983-1985),Cryptomeria japonica,Pterostyrax hispida,11,2910,2012/10/30,2012/10/30,2012/10/30,Conifer
S119,TZA,4,TZA4,35.46888889,139.2091667,0.32,0.37,6.91,6<pH¡Ü7,6-7,6.45,0.5,12.92,6.035,1.694,15.933,0.515,0,0.015,0.069,0.192,0.169,0.201,0.118,0.165,0.106,0.013,0.007,4.12,0.517,5.474,NA,3.13,46.71,0.2,238.66,0.73,46.86,0.68,68.68,11.9,44.94,0.51,87.48,51.6,1.24E+11,487889271,0.004,488620225,326782,1495.2,14,Tanzawa-A,35,28,8,139,12,33,560,N,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1983-1985),Cryptomeria japonica,Pterostyrax hispida,11,2910,2012/10/30,2012/10/30,2012/10/30,Conifer
S12,SCB,2,SCB2,43.38805556,144.66,0.32,0.49,5.32,5<pH¡Ü6,5-6,10.7,0.78,13.67,0.909,13.316,149.314,1.383,0,0.323,0.302,0.913,0.525,0.796,0.226,4.309,0.985,0.127,0.072,4.655,1.851,7.279,0.052,0.67,45.73,0.83,55.23,2.36,42.13,1.33,31.76,3.95,38.91,1.54,25.21,98.5,2.12E+11,2213354149,0.01,694171571,32643831,21.3,2,"Shibecha, broadleaved forest",43,23,17,144,39,36,120,NE,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Quercus crispula,Sasa nipponica,6.2,1170,2012/11/8,2012/11/8,2012/11/8,Broadleaf
S120,TZA,5,TZA5,35.46888889,139.2091667,0.48,0.45,6.93,6<pH¡Ü7,6-7,8.97,0.74,12.09,6.035,1.694,53.282,0.541,0,0.014,0.075,0.311,0.179,0.309,0.124,0.253,0.112,0.016,0.042,5.184,0.476,7.054,NA,0.2,46.82,0.44,107.62,0,45.21,0.65,69.95,6.31,34.68,0.49,70.39,51,1.27E+11,786380352,0.006,130721439,801132,163.2,14,Tanzawa-A,35,28,8,139,12,33,560,N,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1983-1985),Cryptomeria japonica,Pterostyrax hispida,11,2910,2012/10/30,2012/10/30,2012/10/30,Conifer
S121,TZB,1,TZB1,35.47111111,139.2116667,0.48,0.43,6.59,6<pH¡Ü7,6-7,8.23,0.68,12.14,3.166,0.654,27.23,0.315,0.006,0.007,0.176,0.633,0.038,0.222,0.101,0.448,0.088,0.018,0,13.825,0.281,26.444,0.228,3.34,36.85,0.45,81.74,0.25,34.96,0.78,44.76,0.55,39.43,0.48,82.17,59.5,1.52E+11,631722946,0.004,871880141,19272873,45.2,14,Tanzawa-B,35,28,16,139,12,42,510,N,BD,Cambisols,Inceptisols,Artificial coniferous forest (year of plantation: unknown),Cryptomeria japonica,Illicium anisatum,11,2910,2013/10/30,2013/10/30,2013/10/30,Conifer
S122,TZB,2,TZB2,35.47111111,139.2116667,0.58,0.44,6.72,6<pH¡Ü7,6-7,6.09,0.53,11.53,3.166,0.654,25.413,0.445,0.005,0.005,0.138,0.477,0.072,0.173,0.155,0.445,0.048,0.021,0,23.224,0.341,30.726,NA,1.47,41.74,0.49,84.89,0.1,31.14,0.81,38.38,0.51,36.07,0.5,71.71,27.2,69180699419,412510969,0.006,543729775,12885477,42.2,14,Tanzawa-B,35,28,16,139,12,42,510,N,BD,Cambisols,Inceptisols,Artificial coniferous forest (year of plantation: unknown),Cryptomeria japonica,Illicium anisatum,11,2910,2013/10/30,2013/10/30,2013/10/30,Conifer
S123,TZB,3,TZB3,35.47111111,139.2116667,0.4,0.43,6.77,6<pH¡Ü7,6-7,6.88,0.6,11.41,3.166,0.654,36.231,0.582,0.004,0.004,0.165,0.475,0.186,0.12,0.118,0.286,0.048,0.016,0.009,3.294,0.388,12.893,0.921,1.46,41.19,0.45,90.85,0.07,39.54,0.81,49.05,0.74,39.39,0.72,54.81,37.7,77096640867,433860009,0.006,888481233,10169205,87.4,14,Tanzawa-B,35,28,16,139,12,42,510,N,BD,Cambisols,Inceptisols,Artificial coniferous forest (year of plantation: unknown),Cryptomeria japonica,Illicium anisatum,11,2910,2013/10/30,2013/10/30,2013/10/30,Conifer
S124,TZB,4,TZB4,35.47111111,139.2116667,0.44,0.43,6.82,6<pH¡Ü7,6-7,6.67,0.56,11.92,3.166,0.654,42.967,0.67,0.006,0.004,0.171,0.458,0.198,0.104,0.139,0.514,0.113,0.013,0.022,NA,0.668,5.523,NA,2.35,42.21,0.3,142.91,0.38,23.28,0.61,37.98,1.17,42.22,0.7,60.43,59.9,1.38E+11,881152854,0.006,212814429,34827199,6.1,14,Tanzawa-B,35,28,16,139,12,42,510,N,BD,Cambisols,Inceptisols,Artificial coniferous forest (year of plantation: unknown),Cryptomeria japonica,Illicium anisatum,11,2910,2013/10/30,2013/10/30,2013/10/30,Conifer
S125,TZB,5,TZB5,35.47111111,139.2116667,0.51,0.4,6.99,6<pH¡Ü7,6-7,4.88,0.44,11.09,3.166,0.654,49.303,0.679,0.005,0.005,0.143,0.421,0.188,0.117,0.126,0.215,0.058,0.014,0,NA,0.392,3.178,0.209,0.86,37.79,0.36,104.53,0.09,22.14,0.51,43.51,0.84,33.43,0.53,63.11,23.9,58615787952,200593588,0.003,504441703,4527990,111.4,14,Tanzawa-B,35,28,16,139,12,42,510,N,BD,Cambisols,Inceptisols,Artificial coniferous forest (year of plantation: unknown),Cryptomeria japonica,Illicium anisatum,11,2910,2013/10/30,2013/10/30,2013/10/30,Conifer
S126,FJF,1,FJF1,35.44416667,138.7636111,0.42,0.21,7.92,pH>7,>7,6.11,0.33,18.24,0.035,1.44,27.525,0.363,0.006,0.006,0.068,0.125,0.147,0.141,0.059,0.404,0.157,0.003,0.091,1.356,NA,2.899,0.524,8.26,47.24,0.29,161.26,21.05,45.68,0.99,46.19,75,19.87,0.69,28.97,23.5,54288961398,1031788196,0.019,166138156,94822360,1.8,15,Fujihokuroku-1,35,26,39,138,45,49,1100,flat,Im,Regosols,Entisols,Artificial coniferous forest (planted in 1955),Larix kaempferi,Almost no understory,8.8,1850,2012/11/19,2012/11/19,2012/11/19,Conifer
S127,FJF,2,FJF2,35.44416667,138.7636111,0.69,0.23,7.43,pH>7,>7,4.54,0.27,17.02,0.035,1.44,27.926,0.559,0.017,0.051,0.092,0.184,0.279,0.17,0.064,0.438,0.297,0.007,0.142,1.199,NA,2.844,1.08,10.33,46.73,0.35,132.39,5.32,45.97,0.7,66,36.58,32.78,0.99,33.21,36,89881796378,1071676984,0.012,48083782,18208613,2.6,15,Fujihokuroku-1,35,26,39,138,45,49,1100,flat,Im,Regosols,Entisols,Artificial coniferous forest (planted in 1955),Larix kaempferi,Almost no understory,8.8,1850,2012/11/19,2012/11/19,2012/11/19,Conifer
S128,FJF,3,FJF3,35.44416667,138.7636111,0.28,0.18,7.34,pH>7,>7,4.67,0.26,17.87,0.035,1.44,24.213,0.378,0.006,0.007,0.139,0.26,0.138,0.212,0.069,0.511,0.263,0.008,0.087,0.798,0.091,2.68,0.26,4.32,47.82,0.34,139.61,10.17,45.19,1.02,44.11,59.35,34.39,0.95,36.34,14.8,51560611183,644624841,0.013,46400692,17359437,2.7,15,Fujihokuroku-1,35,26,39,138,45,49,1100,flat,Im,Regosols,Entisols,Artificial coniferous forest (planted in 1955),Larix kaempferi,Almost no understory,8.8,1850,2012/11/19,2012/11/19,2012/11/19,Conifer
