sample	Site	median	mean	siltandclay	Branch_stock	Branch_CN	Leaf_stock	Leaf_CN	FH_stock	FH_CN	Latitude	Longitude	Altitude	MAT	MAP	Dominant_tree_type_1	Dominant_tree_type	Bac_Chao1	Fungi_Chao1	NMDS1_bac	NMDS1_fungi	NMDS2_bac	NMDS2_fungi	GNIT_Soil.DNA	GMIN_Soil.DNA	GMIN_TN	GMIN_GNH4C	GNIT_GMIN	GMIN_GNIT_GMIN	pH.H2O.	Total.C	Total.N	CN	GMIN	GNIT	GNH4C	GNO3C	Soil.DNA	Bacterial.16S	Fungal.18S	F.B	WRB	WRB_3	soil_type	Forest_type	Dominant_tree_species	d15N
S1	URA	4.808	8.904181009	98.36304911	3.09	117.18	4.13	50.55	16.45	32.46	44.36722222	142.2466667	300	4.4	1150	0	Conifer	3406.845697	885.4473684	-0.750217976	-0.012319985	-0.797967085	-0.825745488	0.030817901	0.044382716	5.045614035	0.712233779	0.694367177	0.305632823	4.98	8.92	0.57	15.64912281	2.876	1.997	4.038	NA	64.8	87620178412	2742133416	0.031	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1956)	Abies sachalinensis	2.288275441
S10	URN	7.225	15.51687291	93.57812844	6.76	68.09	1.02	30.87	9.27	27.93	44.35583333	142.2580556	300	4.4	1150	0	Conifer	5912.99403	1231.134328	-0.805329846	-0.395562205	-0.369220612	-0.700364253	0.007777778	0.052279202	5.097222222	1.355243722	0.148773842	0.851226158	4.82	5.13	0.36	14.25	1.835	0.273	1.354	0.263	35.1	47413682604	2281414790	0.048	Cambisols	Cambisols	2	Cool temperate mixed forest	Abies sachalinensis	3.761521433
S100	SDB	16.312	35.79128537	80.02639947	NA	NA	NA	NA	NA	NA	36.51916667	138.3519444	1300	6.6	1220	1	Broadleaf	4432.416176	1230.949153	-0.584078364	-0.359231033	-0.201561052	-0.376051222	0.000702668	0.020370852	2.872477064	0.567827349	0.034493772	0.965506228	4.95	23.16	1.09	21.24770642	3.131	0.108	5.514	0.974	153.7	3.67E+11	26002241890	0.071	Andosols	Andosols	3	Cool temperate deciduous broadleaved forest	Quercus crispula	2.379765836
S101	SDG	6.308	13.13047401	94.91415258	0	NA	0	NA	4.41	21.85	36.52333333	138.3497222	1330	6.6	1220	0	Conifer	5514.140244	1612.047945	0.454271354	0.594294898	-0.161266274	-0.339246129	0.004857143	0.014832298	1.126415094	0.991694352	0.327470687	0.672529313	6.09	16.29	1.06	15.36792453	1.194	0.391	1.204	3.957	80.5	1.82E+11	6005342632	0.033	Andosols	Andosols	3	Grassland	Miscanthus sinensis	5.120684479
S102	SDG	7.225	20.08674221	89.832	0	NA	0	NA	3.36	23.88	36.52333333	138.3497222	1330	6.6	1220	0	Conifer	5947.227129	1816.377358	0.190633371	0.337758163	0.014676214	-0.237562075	0.00090784	0.074580468	4.798230088	0.639990557	0.01217263	0.98782737	5.99	17.54	1.13	15.52212389	5.422	0.066	8.472	1.938	72.7	1.68E+11	2705297042	0.016	Andosols	Andosols	3	Grassland	Miscanthus sinensis	5.438907235
S103	SDG	6.308	15.62987101	93.3034018	0	NA	0	NA	4.13	21.13	36.52333333	138.3497222	1330	6.6	1220	0	Conifer	5641.239872	1715.641791	0.317038835	0.468356746	0.003293873	-0.239479673	0.009303371	0.066078652	4.781300813	0.636196452	0.140792382	0.859207618	5.73	17.71	1.23	14.39837398	5.881	0.828	9.244	0.23	89	2.19E+11	4640096873	0.021	Andosols	Andosols	3	Grassland	Miscanthus sinensis	5.111678175
S104	SDG	6.308	21.81855505	88.93811062	0	NA	0	NA	7.41	23.53	36.52333333	138.3497222	1330	6.6	1220	0	Conifer	5225.86399	1325.073171	0.366970782	0.585084014	0.125028182	-0.232295973	0.006155748	0.030123609	2.277570093	0.732051667	0.20434961	0.79565039	5.88	16.08	1.07	15.02803738	2.437	0.498	3.329	3.975	80.9	2.03E+11	7463164520	0.037	Andosols	Andosols	3	Grassland	Miscanthus sinensis	5.450391778
S105	SDG	7.225	15.62838796	93.398	0	NA	0	NA	3.52	34.51	36.52333333	138.3497222	1330	6.6	1220	0	Conifer	5159.399516	1482.45098	0.182916713	0.52132218	0.095229041	-0.361722025	0.006289199	0.007195122	0.744144144	0.804284323	0.87409201	0.12590799	5.78	17.86	1.11	16.09009009	0.826	0.722	1.027	4.507	114.8	2.61E+11	8129606151	0.031	Andosols	Andosols	3	Grassland	Miscanthus sinensis	4.593568739
S106	FKA	18.683	62.40292096	66.11767765	0	NA	0.13	70.27	15.13	112.44	35.20555556	140.1030556	180	14	2310	0	Conifer	6498.724231	1478.384615	1.226263308	0.492288658	0.399857036	0.505322695	0.002210066	0.057636761	8.78	0.552085517	0.038344723	0.961655277	6.61	5.58	0.3	18.6	2.634	0.101	4.771	0.031	45.7	1.07E+11	1412184247	0.013	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1928-1931)	Cryptomeria japonica	1.009880819
S107	FKA	21.399	40.3669178	70.89858203	0	NA	0	17.06	21.49	116.54	35.20555556	140.1030556	180	14	2310	0	Conifer	7065.550466	1546.582192	0.814597861	0.516896682	0.477508482	0.582535314	0.023986014	0.091153846	15.33529412	0.825522483	0.263137706	0.736862294	6.83	3.44	0.17	20.23529412	2.607	0.686	3.158	NA	28.6	61412384084	2817660279	0.046	Cambisols	Cambisols	2	Artificial coniferous forest (planted in 1928-1931)	Cryptomeria japonica	0.546248715
