Site	sample	WRB	soil_type	pH.H2O.	Total.C	Total.N	Dominant_tree_type_1	Dominant_tree_type	MAT	MAP	GNIT_GMIN	GMIN_GNIT_GMIN	GMIN	GNIT	GNH4C	GNO3C	richness_bac	richness_fungi
AKA	S52	Cambisols	2	5.37	6.01	0.34	0	Conifer	11.2	1680	0.001167976	0.998832024	9.418	0.011	10.737	0.071	4440	1169
APN	S43	Andosols	3	4.35	14.04	0.89	1	Broadleaf	9.5	1140	0.221056845	0.778943155	12.49	2.761	16.436	4.224	4078	725
ARB	S21	Andosols	3	6	10.82	0.7	1	Broadleaf	6.4	820	0.594302554	0.405697446	3.054	1.815	4.839	0.911	5559	1324
ARC	S28	Andosols	3	5.92	5.37	0.29	0	Conifer	6.4	820	0.207179487	0.792820513	1.95	0.404	2.448	0.276	5541	1141
ASA	S144	Cambisols	2	5.13	7.36	0.46	0	Conifer	11.9	2250	0.293195266	0.706804734	3.38	0.991	6.187	NA	4521	1226
FJF	S127	Regosols	1	7.43	4.54	0.27	0	Conifer	8.8	1850	0	1	1.199	NA	2.844	1.08	6040	1700
FJS	S134	Andosols	3	6.72	10.8	0.78	0	Conifer	8.8	1850	1.100775194	-0.100775194	0.903	0.994	2.394	NA	5349	1156
FKA	S110	Cambisols	2	6.96	7.74	0.42	0	Conifer	14	2310	0.089065497	0.910934503	3.649	0.325	5.254	0.579	4530	1190
FKB	S113	Cambisols	2	6.41	4.48	0.27	0	Conifer	14	2310	0.234618916	0.765381084	2.178	0.511	3.439	NA	5308	1623
HZA	S183	Andosols	3	5.59	18.29	0.9	0	Conifer	11.3	2160	0.168291098	0.831708902	1.539	0.259	1.605	2.822	4964	1363
HZB	S189	Andosols	3	4.84	20.36	1	1	Broadleaf	11.3	2160	0.104633004	0.895366996	3.842	0.402	6.901	0.428	4364	1271
KGB	S148	Cambisols	2	4.29	9.82	0.33	1	Broadleaf	14.2	1530	0	1	2.262	NA	2.515	0.845	3303	909
KGC	S154	Cambisols	2	4.8	4.05	0.16	0	Conifer	14.2	1530	0	1	3.046	NA	4.2	0.147	2691	731
KSN	S80	Andosols	3	5	11.5	0.63	1	Broadleaf	9	1710	0.288825512	0.711174488	3.857	1.114	3.758	1.243	4284	1191
KTA	S70	Andosols	3	6.12	11.51	0.67	0	Conifer	12.9	1380	0.35644827	0.64355173	6.273	2.236	8.457	1.643	6164	1728
KTB	S74	Andosols	3	5.81	10.03	0.54	1	Broadleaf	12.9	1380	0	0	NA	0.056	12.676	0.037	4794	1517
MRB	S46	Andosols	3	5.32	14.21	0.97	1	Broadleaf	10.6	1330	1.199856425	-0.199856425	6.965	8.357	9.91	1.359	4954	988
OYB	S85	Andosols	3	5.08	10.17	0.51	0	Conifer	9.8	1690	0.190415683	0.809584317	5.509	1.049	7.733	0.378	4583	1137
OYC	S89	Andosols	3	5.54	7.72	0.54	0	Conifer	9.8	1690	6.333333333	-5.333333333	0.093	0.589	3.217	NA	6260	1813
SBA	S157	Cambisols	2	5.15	4.21	0.25	0	Conifer	13.1	2660	0.186542305	0.813457695	1.501	0.28	3.338	0.83	5170	987
SBN	S163	Cambisols	2	5.04	7.25	0.57	0	Conifer	13.1	2660	0.05943883	0.94056117	14.149	0.841	16.933	1.767	5283	1275
SCB	S12	Andosols	3	5.32	10.7	0.78	1	Broadleaf	6.2	1170	0.39763695	0.60236305	4.655	1.851	7.279	0.052	5734	1564
SCC	S18	Andosols	3	5.73	7.78	0.52	0	Conifer	6.2	1170	0.259563543	0.740436457	3.895	1.011	6.318	NA	5909	1609
SDB	S96	Andosols	3	5.42	14.92	0.72	1	Broadleaf	6.6	1220	0.03561023	0.96438977	3.089	0.11	4.858	1.301	3880	1446
SDG	S101	Andosols	3	6.09	16.29	1.06	0	Conifer	6.6	1220	0.327470687	0.672529313	1.194	0.391	1.204	3.957	4272	1473
SDP	S91	Andosols	3	5.42	16.95	0.83	0	Conifer	6.6	1220	0.086918731	0.913081269	2.301	0.2	5.118	0.313	3899	915
SGA	S59	Cambisols	2	4.47	14.59	0.87	0	Conifer	13.1	2330	0.459485453	0.540514547	4.159	1.911	7.219	0.104	4609	1264
SGN	S65	Cambisols	2	4.14	8.89	0.39	1	Broadleaf	13.1	2330	0.051108096	0.948891904	2.211	0.113	1.625	0.039	2886	733
STN	S139	Cambisols	2	4.31	2.98	0.09	1	Broadleaf	14.6	1520	0.148459384	0.851540616	0.357	0.053	1.251	0.328	3392	920
TKA	S169	Andosols	3	6.72	2.17	0.07	0	Conifer	14.9	3080	0.69195923	0.30804077	0.883	0.611	3.096	0.122	6613	1347
TKN	S174	Regosols	1	5.92	1.96	0.13	1	Broadleaf	14.9	3080	0.496240602	0.503759398	0.532	0.264	0.947	NA	5296	1548
TTA	S195	Cambisols	2	5.65	7.47	0.51	0	Conifer	13.3	2720	1.28	-0.28	2.225	2.848	4.619	NA	5166	893
TTB	S197	Cambisols	2	5.71	5.49	0.39	0	Conifer	13.3	2720	1.336302895	-0.336302895	0.449	0.6	2.563	0.135	4653	992
TZA	S119	Cambisols	2	6.91	6.45	0.5	0	Conifer	11	2910	0.125485437	0.874514563	4.12	0.517	5.474	NA	4867	1123
TZB	S123	Cambisols	2	6.77	6.88	0.6	0	Conifer	11	2910	0.117789921	0.882210079	3.294	0.388	12.893	0.921	5354	1437
URA	S3	Cambisols	2	5	6.28	0.44	0	Conifer	4.4	1150	0	1	2.272	NA	2.011	NA	2939	957
URN	S9	Cambisols	2	5.12	7.83	0.47	0	Conifer	4.4	1150	0.02818679	0.97181321	2.377	0.067	1.364	NA	3410	1018
YNN	S177	Acrisols	1	4.88	5.06	0.15	1	Broadleaf	20.9	2550	0.169036335	0.830963665	10.128	1.712	3.204	1.557	3599	1560
