ID	Large_category	Small_category	Origin	Type	Name	Components
M00013	Carbohydrate metabolism	Other carbohydrate metabolism	Fungi	Pathway	"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"	5
M00030	Amino acid metabolism	Lysine metabolism	Fungi	Pathway	"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"	8
M00055	Glycan metabolism	Glycan biosynthesis	Fungi	Pathway	N-glycan precursor biosynthesis	13
M00065	Glycan metabolism	Glycan biosynthesis	Fungi	Pathway	"GPI-anchor biosynthesis, core oligosaccharide"	8
M00072	Glycan metabolism	Glycan biosynthesis	Fungi	Pathway	N-glycosylation by oligosaccharyltransferase	1
M00073	Glycan metabolism	Glycan biosynthesis	Fungi	Pathway	N-glycan precursor trimming	3
M00074	Glycan metabolism	Glycan biosynthesis	Fungi	Pathway	"N-glycan biosynthesis, high-mannose type"	6
M00081	Carbohydrate metabolism	Other carbohydrate metabolism	Fungi	Pathway	Pectin degradation	3
M00085	Lipid metabolism	Fatty acid biosynthesis and degradation	Fungi	Pathway	"Fatty acid biosynthesis, elongation, mitochondria"	3..4
M00089	Lipid metabolism	Lipid metabolism	Fungi	Pathway	Triacylglycerol biosynthesis	4..5
M00090	Lipid metabolism	Lipid metabolism	Fungi	Pathway	"Phosphatidylcholine (PC) biosynthesis, choline => PC"	3
M00092	Lipid metabolism	Lipid metabolism	Fungi	Pathway	"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE"	3
M00094	Lipid metabolism	Lipid metabolism	Fungi	Pathway	Ceramide biosynthesis	4
M00099	Lipid metabolism	Lipid metabolism	Fungi	Pathway	Sphingosine biosynthesis	5
M00100	Lipid metabolism	Lipid metabolism	Fungi	Pathway	Sphingosine degradation	2
M00101	Lipid metabolism	Sterol biosynthesis	Fungi	Pathway	"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol"	10
M00102	Lipid metabolism	Sterol biosynthesis	Fungi	Pathway	Ergocalciferol biosynthesis	5
M00128	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Fungi	Pathway	"Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone"	6
M00141	Metabolism of cofactors and vitamins	Cofactor and vitamin metabolism	Fungi	Pathway	"C1-unit interconversion, eukaryotes"	2..3
M00142	Energy metabolism	ATP synthesis	Fungi	Complex	"NADH:ubiquinone oxidoreductase, mitochondria"	7
M00143	Energy metabolism	ATP synthesis	Fungi	Complex	"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria"	10
M00148	Energy metabolism	ATP synthesis	Fungi	Complex	Succinate dehydrogenase (ubiquinone)	4
M00152	Energy metabolism	ATP synthesis	Fungi	Complex	Cytochrome bc1 complex	9..10
M00154	Energy metabolism	ATP synthesis	Fungi	Complex	Cytochrome c oxidase	15
M00158	Energy metabolism	ATP synthesis	Fungi	Complex	"F-type ATPase, eukaryotes"	15
M00160	Energy metabolism	ATP synthesis	Fungi	Complex	"V-type ATPase, eukaryotes"	13
M00177	Genetic information processing	Ribosome	Fungi	Complex	"Ribosome, eukaryotes"	77
M00180	Genetic information processing	RNA polymerase	Fungi	Complex	"RNA polymerase II, eukaryotes"	12
M00181	Genetic information processing	RNA polymerase	Fungi	Complex	"RNA polymerase III, eukaryotes"	16
M00182	Genetic information processing	RNA polymerase	Fungi	Complex	"RNA polymerase I, eukaryotes"	12
M00261	Genetic information processing	DNA polymerase	Fungi	Complex	DNA polymerase alpha / primase complex	4
M00262	Genetic information processing	DNA polymerase	Fungi	Complex	DNA polymerase delta complex	4
M00263	Genetic information processing	DNA polymerase	Fungi	Complex	DNA polymerase epsilon complex	4
M00284	Genetic information processing	Replication system	Fungi	Complex	Origin recognition complex	6
M00285	Genetic information processing	Replication system	Fungi	Complex	MCM complex	6
